행정동코드,자치구,행정동,전이확률_GB,전이확률_정규화,Avoidance,Shadow_Score,위험등급,dep_2025,dep_slope_annual
1107062,중랑구,중화2동,0.0549,5.906313645621181,42.3,15.0,저위험,67.9,1.000000000000001
1123080,강남구,개포2동,0.0049,0.24892509617560535,59.2,14.99,저위험,41.6,1.6300000000000003
1118059,금천구,시흥3동,0.0035,0.09051821679112922,59.6,14.97,저위험,38.3,-3.25
1123071,강남구,개포4동,0.0045,0.20366598778004072,59.2,14.95,저위험,42.0,1.2899999999999987
1123072,강남구,일원본동,0.0042,0.16972165648336726,59.2,14.93,저위험,26.4,-1.4700000000000006
1104056,성동구,행당1동,0.0071,0.49785019235121075,58.2,14.92,저위험,41.5,-1.0
1101068,종로구,창신2동,0.0478,5.10296447159991,44.3,14.9,저위험,,
1123074,강남구,일원2동,0.0039,0.1357773251866938,59.2,14.9,저위험,25.5,-0.6999999999999993
1123068,강남구,개포1동,0.0034,0.07920343969223803,59.2,14.86,저위험,22.3,2.44
1123060,강남구,대치1동,0.0033,0.0678886625933469,59.2,14.85,저위험,28.1,1.0400000000000014
1123066,강남구,도곡1동,0.0032,0.056573885494455765,59.2,14.84,저위험,38.3,0.2100000000000001
1104055,성동구,사근동,0.006,0.37338764426340804,58.2,14.83,저위험,,
1104052,성동구,왕십리2동,0.0059,0.36207286716451687,58.2,14.82,저위험,36.9,1.4899999999999995
1104072,성동구,금호2·3가동,0.0058,0.3507580900656257,58.2,14.81,저위험,41.5,3.07
1103070,용산구,보광동,0.0269,2.7381760579316587,50.7,14.73,저위험,35.3,-3.25
1104065,성동구,성수1가1동,0.0047,0.22629554197782306,58.2,14.72,저위험,50.8,3.979999999999999
1105066,광진구,자양3동,0.0091,0.7241457343290338,56.5,14.67,저위험,46.6,-0.429999999999999
1104059,성동구,금호1가동,0.0039,0.1357773251866938,58.2,14.65,저위험,35.4,0.7999999999999972
1104057,성동구,행당2동,0.0038,0.12446254808780267,58.2,14.64,저위험,40.3,2.01
1104058,성동구,응봉동,0.0035,0.09051821679112922,58.2,14.62,저위험,28.5,1.6000000000000014
1104062,성동구,금호4가동,0.0035,0.09051821679112922,58.2,14.62,저위험,35.4,-0.3000000000000042
1104073,성동구,옥수동,0.0033,0.0678886625933469,58.2,14.6,저위험,39.9,0.0399999999999998
1107057,중랑구,면목7동,0.0497,5.317945236478842,42.3,14.56,저위험,49.1,0.1900000000000005
1116069,강서구,공항동,0.0198,1.9348268839103873,52.3,14.53,저위험,50.0,0.320000000000001
1105059,광진구,능동,0.0068,0.4639058610545372,56.5,14.47,저위험,,
1117070,구로구,가리봉동,0.0732,7.976917854718264,33.8,14.43,저위험,63.2,-0.5699999999999988
1105061,광진구,구의2동,0.0058,0.3507580900656257,56.5,14.39,저위험,48.0,0.0700000000000009
1125073,강동구,천호2동,0.0142,1.3011993663724826,53.6,14.38,저위험,66.6,0.009999999999998
1106083,동대문구,전농1동,0.0782,8.542656709662822,31.5,14.28,저위험,63.9,2.14
1105063,광진구,광장동,0.0041,0.15840687938447617,56.5,14.24,저위험,40.2,1.6700000000000006
1105065,광진구,자양2동,0.004,0.14709210228558497,56.5,14.24,저위험,50.3,1.4
1114075,마포구,도화동,0.022,2.1837519800859924,50.2,14.19,저위험,49.3,3.589999999999999
1125053,강동구,명일1동,0.0116,1.0070151618013123,53.6,14.16,저위험,46.0,1.0999999999999983
1114076,마포구,서강동,0.0215,2.127178094591536,50.2,14.15,저위험,47.6,0.7400000000000013
1103051,용산구,후암동,0.02,1.9574564381081694,50.7,14.14,저위험,45.1,1.0500000000000014
1103053,용산구,남영동,0.0192,1.86693822131704,50.7,14.08,저위험,,
1120053,동작구,상도1동,0.0469,5.001131477709889,41.0,14.0,저위험,54.4,2.16
1114066,마포구,서교동,0.0195,1.9008825526137136,50.2,13.98,저위험,74.7,-0.4899999999999991
1116063,강서구,화곡8동,0.0126,1.120162932790224,52.3,13.92,저위험,51.4,2.070000000000001
1114059,마포구,용강동,0.0186,1.7990495587236932,50.2,13.9,저위험,51.5,0.9699999999999996
1116072,강서구,방화3동,0.0124,1.0975333785924417,52.3,13.9,저위험,45.2,0.6800000000000004
1103052,용산구,용산2가동,0.0168,1.5953835709436524,50.7,13.87,저위험,,
1125070,강동구,둔촌1동,0.0079,0.58836840914234,53.6,13.84,저위험,36.8,18.4
1116065,강서구,가양2동,0.0107,0.9051821679112922,52.3,13.75,저위험,44.3,-0.2500000000000007
1125052,강동구,상일동,0.0066,0.44127630685675495,53.6,13.73,저위험,37.6,0.270000000000001
1125071,강동구,둔촌2동,0.0056,0.3281285358678434,53.6,13.65,저위험,47.0,1.45
1116058,강서구,화곡3동,0.0089,0.7015161801312514,52.3,13.6,저위험,44.4,-1.16
1116074,강서구,우장산동,0.0086,0.667571848834578,52.3,13.58,저위험,48.3,1.9699999999999989
1116052,강서구,등촌1동,0.0087,0.6788866259334692,52.3,13.58,저위험,46.8,1.5799999999999996
1125056,강동구,고덕2동,0.0046,0.2149807648789319,53.6,13.56,저위험,42.8,5.399999999999999
1125059,강동구,암사3동,0.0041,0.15840687938447617,53.6,13.52,저위험,28.8,1.9800000000000009
1125051,강동구,강일동,0.004,0.14709210228558497,53.6,13.51,저위험,42.1,2.16
1125054,강동구,명일2동,0.0037,0.11314777098891153,53.6,13.48,저위험,33.6,1.2200000000000006
1116057,강서구,화곡2동,0.0075,0.5431093007467752,52.3,13.48,저위험,39.3,-0.3100000000000015
1125055,강동구,고덕1동,0.0035,0.09051821679112922,53.6,13.47,저위험,33.2,0.050000000000001
1125065,강동구,성내1동,0.0031,0.04525910839556459,53.6,13.43,저위험,39.6,-1.5699999999999996
1125058,강동구,암사2동,0.0029,0.022629554197782266,53.6,13.42,저위험,38.0,5.0
1116071,강서구,방화2동,0.0068,0.4639058610545372,52.3,13.42,저위험,50.0,-0.0300000000000011
1116066,강서구,가양3동,0.0056,0.3281285358678434,52.3,13.32,저위험,43.2,4.470000000000001
1116051,강서구,염창동,0.0043,0.18103643358225843,52.3,13.21,저위험,44.2,2.1099999999999994
1120073,동작구,사당2동,0.0373,3.9149128762163388,41.0,13.19,저위험,45.6,-1.8800000000000003
1116053,강서구,등촌2동,0.004,0.14709210228558497,52.3,13.19,저위험,27.3,-1.4199999999999997
1114060,마포구,대흥동,0.01,0.8259787282190542,50.2,13.17,저위험,54.0,-0.5
1114070,마포구,망원2동,0.0094,0.7580900656257072,50.2,13.12,저위험,43.1,1.85
1114072,마포구,성산1동,0.0088,0.6902014030323603,50.2,13.07,저위험,44.5,1.729999999999999
1103066,용산구,이태원2동,0.0064,0.41864675265897267,50.7,12.99,저위험,,
1114061,마포구,염리동,0.0069,0.4752206381534284,50.2,12.91,저위험,39.2,1.190000000000002
1103072,용산구,원효로1동,0.0043,0.18103643358225843,50.7,12.81,저위험,46.6,
1103058,용산구,효창동,0.0041,0.15840687938447617,50.7,12.79,저위험,,
1103057,용산구,원효로2동,0.0036,0.10183299389002036,50.7,12.75,저위험,36.9,1.85
1103063,용산구,이촌1동,0.0036,0.10183299389002036,50.7,12.75,저위험,32.9,1.2199999999999993
1103059,용산구,용문동,0.0036,0.10183299389002036,50.7,12.75,저위험,,
1107071,중랑구,면목본동,0.0282,2.885268160217244,42.3,12.74,저위험,69.6,-1.1400000000000006
1122051,서초구,서초1동,0.1523,16.926906539941164,0.0,12.7,저위험,52.1,1.8500000000000008
1103064,용산구,이촌2동,0.0029,0.022629554197782266,50.7,12.69,저위험,,
1103069,용산구,서빙고동,0.0028,0.011314777098891133,50.7,12.68,저위험,24.3,5.400000000000002
1114078,마포구,아현동,0.0036,0.10183299389002036,50.2,12.63,저위험,49.8,2.140000000000001
1107068,중랑구,망우3동,0.0266,2.704231726634985,42.3,12.6,저위험,50.4,1.3699999999999997
1114063,마포구,신수동,0.0031,0.04525910839556459,50.2,12.58,저위험,45.9,2.0800000000000005
1108060,성북구,안암동,0.019,1.844308667119258,44.6,12.53,저위험,,
1101070,종로구,숭인1동,0.0196,1.9121973297126047,44.3,12.51,저위험,,
1101061,종로구,종로1·2·3·4가동,0.0142,1.3011993663724826,44.3,12.05,저위험,98.4,-1.5999999999999943
1108061,성북구,보문동,0.0131,1.1767368182846798,44.6,12.03,저위험,49.2,11.0
1106089,동대문구,이문1동,0.0511,5.4763521158633175,31.5,11.98,저위험,51.1,-1.3
1101067,종로구,창신1동,0.0133,1.1993663724824621,44.3,11.97,저위험,,
1108076,성북구,장위1동,0.0121,1.063589047295768,44.6,11.95,저위험,49.2,0.1200000000000002
1115072,양천구,신정4동,0.0986,10.850871237836616,14.1,11.66,저위험,60.2,-0.7999999999999993
1108071,성북구,월곡1동,0.0084,0.6449422946367956,44.6,11.63,저위험,47.9,0.7
1108065,성북구,정릉4동,0.0079,0.58836840914234,44.6,11.59,저위험,46.3,1.2299999999999982
1107061,중랑구,중화1동,0.0147,1.3577732518669383,42.3,11.59,저위험,47.6,2.9
1101064,종로구,이화동,0.0088,0.6902014030323603,44.3,11.59,저위험,,
1101071,종로구,숭인2동,0.0086,0.667571848834578,44.3,11.58,저위험,,
1101069,종로구,창신3동,0.0083,0.6336275175379045,44.3,11.55,저위험,,
1117055,구로구,구로4동,0.0382,4.01674587010636,33.8,11.46,저위험,74.2,2.210000000000002
1108072,성북구,월곡2동,0.0064,0.41864675265897267,44.6,11.46,저위험,43.6,-2.209999999999998
1108064,성북구,정릉3동,0.0062,0.3960171984611903,44.6,11.45,저위험,32.9,4.159999999999999
1122053,서초구,서초3동,0.1371,15.207060420909709,0.0,11.41,저위험,64.1,1.069999999999999
1117071,구로구,구로2동,0.0364,3.813079882326319,33.8,11.31,저위험,86.4,0.6799999999999997
1107064,중랑구,묵1동,0.011,0.9391264992079654,42.3,11.28,저위험,50.2,2.430000000000002
1101056,종로구,평창동,0.005,0.2602398732744965,44.3,11.27,저위험,30.4,0.15
1108078,성북구,장위3동,0.004,0.14709210228558497,44.6,11.26,저위험,35.6,1.3000000000000005
1101055,종로구,부암동,0.0049,0.24892509617560535,44.3,11.26,저위험,,
1108062,성북구,정릉1동,0.004,0.14709210228558497,44.6,11.26,저위험,37.9,0.2000000000000007
1108066,성북구,길음1동,0.0038,0.12446254808780267,44.6,11.24,저위험,42.7,0.5500000000000014
1107069,중랑구,신내1동,0.0105,0.88255261371351,42.3,11.24,저위험,47.6,0.3799999999999997
1108063,성북구,정릉2동,0.0038,0.12446254808780267,44.6,11.24,저위험,41.6,-0.5099999999999995
1108068,성북구,길음2동,0.0036,0.10183299389002036,44.6,11.23,저위험,41.0,0.4299999999999997
1108059,성북구,돈암2동,0.0036,0.10183299389002036,44.6,11.23,저위험,36.6,1.4100000000000008
1108058,성북구,돈암1동,0.0037,0.11314777098891153,44.6,11.23,저위험,29.5,0.1899999999999998
1120071,동작구,흑석동,0.0139,1.267255035075809,41.0,11.2,저위험,52.1,-0.3800000000000004
1108081,성북구,성북동,0.0033,0.0678886625933469,44.6,11.2,저위험,40.0,-0.8200000000000003
1101058,종로구,교남동,0.0038,0.12446254808780267,44.3,11.17,저위험,,
1101072,종로구,청운효자동,0.0027,0.0,44.3,11.08,저위험,,
1101057,종로구,무악동,0.0028,0.011314777098891133,44.3,11.08,저위험,,
1107065,중랑구,묵2동,0.0082,0.6223127404390134,42.3,11.04,저위험,51.3,1.569999999999998
1117072,구로구,개봉1동,0.0328,3.405747906766237,33.8,11.0,저위험,54.5,-0.4100000000000001
1107054,중랑구,면목4동,0.0063,0.4073319755600815,42.3,10.88,저위험,41.5,0.9099999999999996
1120056,동작구,상도4동,0.0096,0.7807196198234895,41.0,10.84,저위험,49.5,1.1000000000000008
1107070,중랑구,신내2동,0.0056,0.3281285358678434,42.3,10.82,저위험,44.0,1.2899999999999998
1107055,중랑구,면목5동,0.0051,0.27155465037338766,42.3,10.78,저위험,38.4,3.6000000000000014
1102054,중구,회현동,0.0749,8.169269065399412,18.5,10.75,저위험,,
1107059,중랑구,상봉1동,0.0045,0.20366598778004072,42.3,10.73,저위험,43.2,3.790000000000001
1120055,동작구,상도3동,0.0069,0.4752206381534284,41.0,10.61,저위험,46.1,1.770000000000001
1120067,동작구,사당5동,0.0054,0.3054989816700611,41.0,10.48,저위험,,
1120070,동작구,신대방2동,0.0049,0.24892509617560535,41.0,10.44,저위험,43.1,1.7500000000000009
1120069,동작구,신대방1동,0.0044,0.1923512106811496,41.0,10.39,저위험,44.5,-0.6300000000000011
1120066,동작구,사당4동,0.0038,0.12446254808780267,41.0,10.34,저위험,37.6,11.1
1120054,동작구,상도2동,0.0037,0.11314777098891153,41.0,10.33,저위험,45.1,0.7799999999999997
1120068,동작구,대방동,0.0035,0.09051821679112922,41.0,10.32,저위험,49.4,2.6700000000000004
1120065,동작구,사당3동,0.0035,0.09051821679112922,41.0,10.32,저위험,36.9,-0.0100000000000008
1121081,관악구,난곡동,0.0769,8.395564607377235,15.9,10.27,저위험,53.9,1.8
1106086,동대문구,답십리2동,0.0287,2.9418420457116996,31.5,10.08,저위험,55.5,1.1300000000000012
1121064,관악구,서원동,0.0719,7.829825752432678,15.9,9.85,저위험,53.4,-0.1800000000000011
1106082,동대문구,제기동,0.0251,2.534510070151618,31.5,9.78,저위험,74.3,-1.1199999999999988
1117062,구로구,고척2동,0.0159,1.4935505770536321,33.8,9.57,저위험,51.6,1.0299999999999998
1117068,구로구,오류2동,0.0156,1.4596062457569585,33.8,9.54,저위험,49.1,1.66
1106071,동대문구,회기동,0.0201,1.9687712152070607,31.5,9.35,저위험,,
1106081,동대문구,용신동,0.0181,1.7424756732292375,31.5,9.18,저위험,70.6,-0.7500000000000042
1117064,구로구,개봉2동,0.0085,0.6562570717356869,33.8,8.94,저위험,44.3,1.9699999999999989
1117051,구로구,신도림동,0.0067,0.4525910839556461,33.8,8.79,저위험,47.9,0.6899999999999998
1117061,구로구,고척1동,0.0063,0.4073319755600815,33.8,8.76,저위험,50.0,2.43
1117069,구로구,수궁동,0.0043,0.18103643358225843,33.8,8.59,저위험,37.9,0.5799999999999997
1117067,구로구,오류1동,0.0044,0.1923512106811496,33.8,8.59,저위험,45.4,1.1700000000000004
1117065,구로구,개봉3동,0.0039,0.1357773251866938,33.8,8.55,저위험,41.5,0.1
1117052,구로구,구로1동,0.0033,0.0678886625933469,33.8,8.5,저위험,32.7,0.4700000000000006
1121072,관악구,조원동,0.0537,5.770536320434488,15.9,8.3,저위험,53.4,-0.5899999999999999
1106090,동대문구,이문2동,0.0073,0.520479746548993,31.5,8.27,저위험,35.8,-1.240000000000002
1106091,동대문구,답십리1동,0.0053,0.29418420457116995,31.5,8.1,저위험,46.2,0.3100000000000001
1106073,동대문구,휘경2동,0.0047,0.22629554197782306,31.5,8.04,저위험,42.0,1.0299999999999998
1106084,동대문구,전농2동,0.0044,0.1923512106811496,31.5,8.02,저위험,38.5,0.55
1106072,동대문구,휘경1동,0.0034,0.07920343969223803,31.5,7.93,저위험,42.0,0.7099999999999997
1121069,관악구,신림동,0.0471,5.0237610319076715,15.9,7.74,저위험,,
1115057,양천구,신월1동,0.0495,5.29531568228106,14.1,7.5,저위험,55.4,0.8399999999999999
1121058,관악구,낙성대동,0.0384,4.039375424304141,15.9,7.0,저위험,,
1102057,중구,필동,0.0293,3.0097307083050464,18.5,6.88,저위험,,
1115059,양천구,신월3동,0.0385,4.050690201403032,14.1,6.56,저위험,49.4,-0.0700000000000002
1102067,중구,황학동,0.0204,2.002715546503734,18.5,6.13,저위험,,
1121073,관악구,대학동,0.0258,2.613713509843856,15.9,5.94,저위험,70.5,0.9600000000000009
1102070,중구,다산동,0.0168,1.5953835709436524,18.5,5.82,저위험,40.6,-4.0
1102073,중구,동화동,0.0099,0.814663951120163,18.5,5.24,저위험,,
1122057,서초구,반포1동,0.0643,6.96990269291695,0.0,5.23,저위험,49.8,0.1600000000000001
1102065,중구,신당5동,0.0085,0.6562570717356869,18.5,5.12,저위험,,
1102071,중구,약수동,0.0082,0.6223127404390134,18.5,5.09,저위험,44.0,1.69
1121062,관악구,인헌동,0.0141,1.2898845892735915,15.9,4.94,저위험,45.9,-1.2099999999999995
1121082,관악구,삼성동,0.0139,1.267255035075809,15.9,4.93,저위험,43.9,1.2500000000000009
1102072,중구,청구동,0.0056,0.3281285358678434,18.5,4.87,저위험,36.7,-1.8699999999999988
1121083,관악구,미성동,0.0127,1.1314777098891151,15.9,4.82,저위험,53.4,0.9699999999999996
1102068,중구,중림동,0.0049,0.24892509617560535,18.5,4.81,저위험,,
1115051,양천구,목1동,0.0154,1.4369766915591764,14.1,4.6,저위험,43.7,0.1100000000000001
1115063,양천구,신월7동,0.0149,1.3804028060647204,14.1,4.56,저위험,46.6,-1.0700000000000005
1115066,양천구,신정3동,0.0146,1.3464584747680473,14.1,4.53,저위험,50.9,1.6100000000000008
1121066,관악구,서림동,0.0083,0.6336275175379045,15.9,4.45,저위험,54.8,0.9599999999999994
1121061,관악구,중앙동,0.0077,0.5657388549445577,15.9,4.4,저위험,,
1121079,관악구,성현동,0.0071,0.49785019235121075,15.9,4.35,저위험,44.4,0.7499999999999986
1121071,관악구,난향동,0.0054,0.3054989816700611,15.9,4.2,저위험,31.7,1.9899999999999995
1121063,관악구,남현동,0.0049,0.24892509617560535,15.9,4.16,저위험,33.4,-1.8000000000000014
1121052,관악구,보라매동,0.0046,0.2149807648789319,15.9,4.14,저위험,54.3,2.2799999999999985
1121054,관악구,청림동,0.0033,0.0678886625933469,15.9,4.03,저위험,28.9,1.22
1115071,양천구,목5동,0.0085,0.6562570717356869,14.1,4.02,저위험,39.8,0.2899999999999991
1113073,서대문구,충현동,0.0226,2.251640642679339,9.0,3.94,저위험,50.8,0.6999999999999993
1115054,양천구,목4동,0.0052,0.2828694274722788,14.1,3.74,저위험,41.5,0.2199999999999995
1115052,양천구,목2동,0.0047,0.22629554197782306,14.1,3.69,저위험,45.7,1.060000000000001
1115061,양천구,신월5동,0.0044,0.1923512106811496,14.1,3.67,저위험,31.9,-2.7300000000000004
1115053,양천구,목3동,0.0043,0.18103643358225843,14.1,3.66,저위험,47.3,0.2699999999999981
1115062,양천구,신월6동,0.004,0.14709210228558497,14.1,3.64,저위험,32.5,-0.75
1115064,양천구,신정1동,0.004,0.14709210228558497,14.1,3.64,저위험,39.6,3.5
1115070,양천구,신정7동,0.0041,0.15840687938447617,14.1,3.64,저위험,43.5,1.3800000000000003
1113072,서대문구,북가좌2동,0.0189,1.8329938900203666,9.0,3.62,저위험,53.3,-0.7900000000000006
1115069,양천구,신정6동,0.0038,0.12446254808780267,14.1,3.62,저위험,31.2,0.8700000000000003
1115065,양천구,신정2동,0.0035,0.09051821679112922,14.1,3.59,저위험,39.5,1.75
1115060,양천구,신월4동,0.0035,0.09051821679112922,14.1,3.59,저위험,38.9,5.589999999999999
1115058,양천구,신월2동,0.0035,0.09051821679112922,14.1,3.59,저위험,41.1,2.150000000000001
1113070,서대문구,남가좌2동,0.0178,1.7085313419325638,9.0,3.53,저위험,47.1,0.2399999999999998
1113064,서대문구,홍제3동,0.0135,1.2219959266802445,9.0,3.17,저위험,45.2,-0.6399999999999985
1113068,서대문구,홍은2동,0.0073,0.520479746548993,9.0,2.64,저위험,46.8,1.14
1113066,서대문구,홍은1동,0.0047,0.22629554197782306,9.0,2.42,저위험,45.9,0.8599999999999988
1113052,서대문구,천연동,0.0042,0.16972165648336726,9.0,2.38,저위험,42.4,0.3999999999999986
1113062,서대문구,홍제1동,0.004,0.14709210228558497,9.0,2.36,저위험,42.2,-0.3
1113065,서대문구,홍제2동,0.0039,0.1357773251866938,9.0,2.35,저위험,30.6,2.020000000000001
1113074,서대문구,북아현동,0.0033,0.0678886625933469,9.0,2.3,저위험,43.0,5.399999999999999
1113069,서대문구,남가좌1동,0.0032,0.056573885494455765,9.0,2.29,저위험,34.8,
1113071,서대문구,북가좌1동,0.0032,0.056573885494455765,9.0,2.29,저위험,33.8,1.4499999999999993
1122060,서초구,반포4동,0.0241,2.4213622991627064,0.0,1.82,저위험,46.6,0.3600000000000009
1122054,서초구,서초4동,0.022,2.1837519800859924,0.0,1.64,저위험,46.3,1.2699999999999996
1122063,서초구,방배2동,0.0138,1.2559402579769179,0.0,0.94,저위험,45.4,3.0100000000000007
1122055,서초구,잠원동,0.0136,1.2333107037791355,0.0,0.92,저위험,50.8,1.1399999999999992
1122065,서초구,방배4동,0.0112,0.9617560534057481,0.0,0.72,저위험,44.2,2.5200000000000005
1122064,서초구,방배3동,0.0046,0.2149807648789319,0.0,0.16,저위험,30.9,-1.3400000000000003
1122062,서초구,방배1동,0.0041,0.15840687938447617,0.0,0.12,저위험,35.2,-0.3899999999999998
1122061,서초구,방배본동,0.0039,0.1357773251866938,0.0,0.1,저위험,42.4,2.249999999999999
1122058,서초구,반포2동,0.0038,0.12446254808780267,0.0,0.09,저위험,28.8,3.810000000000001
1122059,서초구,반포3동,0.0033,0.0678886625933469,0.0,0.05,저위험,36.9,1.689999999999999
1122068,서초구,내곡동,0.0028,0.011314777098891133,0.0,0.01,저위험,36.0,1.4000000000000008
1122056,서초구,반포본동,0.0028,0.011314777098891133,0.0,0.01,저위험,,
