행정동코드,자치구,행정동,dep_2022,dep_2023,dep_2024,dep_2025
1101053,종로구,사직동,,,,
1101055,종로구,부암동,,,,
1101056,종로구,평창동,26.2,30.7,19.6,30.4
1101057,종로구,무악동,,,,
1101058,종로구,교남동,,,,
1101061,종로구,종로1·2·3·4가동,,,100.0,98.4
1101063,종로구,종로5·6가동,,,,
1101064,종로구,이화동,,,,
1101067,종로구,창신1동,,,,
1101068,종로구,창신2동,,,57.0,
1101069,종로구,창신3동,,,,
1101070,종로구,숭인1동,,,,
1101071,종로구,숭인2동,,,,
1101072,종로구,청운효자동,,,,
1101073,종로구,혜화동,45.6,56.8,50.9,54.2
1102054,중구,회현동,,,,
1102055,중구,명동,,,,
1102057,중구,필동,,,,
1102059,중구,광희동,,,,
1102065,중구,신당5동,,,,
1102067,중구,황학동,,,52.1,
1102068,중구,중림동,,,,
1102069,중구,신당동,,,65.1,63.7
1102070,중구,다산동,,48.6,41.5,40.6
1102071,중구,약수동,34.4,48.7,36.8,44.0
1102072,중구,청구동,38.9,48.9,36.8,36.7
1102073,중구,동화동,,,,
1103051,용산구,후암동,39.3,49.5,42.6,45.1
1103052,용산구,용산2가동,,,,
1103053,용산구,남영동,,,,
1103057,용산구,원효로2동,29.3,40.8,36.5,36.9
1103058,용산구,효창동,,,,
1103059,용산구,용문동,,,,
1103063,용산구,이촌1동,25.3,44.9,34.3,32.9
1103064,용산구,이촌2동,,,,
1103065,용산구,이태원1동,,,,
1103066,용산구,이태원2동,,,,
1103069,용산구,서빙고동,,,18.9,24.3
1103070,용산구,보광동,42.8,46.2,36.2,35.3
1103071,용산구,청파동,45.7,61.4,53.2,52.2
1103072,용산구,원효로1동,,,,46.6
1103073,용산구,한강로동,55.1,66.1,59.4,59.9
1103074,용산구,한남동,52.0,62.7,45.9,53.4
1104052,성동구,왕십리2동,31.2,42.1,39.9,36.9
1104054,성동구,마장동,55.0,68.3,60.9,57.5
1104055,성동구,사근동,,,,
1104056,성동구,행당1동,,43.5,33.3,41.5
1104057,성동구,행당2동,31.9,45.0,39.9,40.3
1104058,성동구,응봉동,,,26.9,28.5
1104059,성동구,금호1가동,,,34.6,35.4
1104062,성동구,금호4가동,,,35.7,35.4
1104065,성동구,성수1가1동,38.4,47.2,49.8,50.8
1104066,성동구,성수1가2동,51.7,61.2,54.7,51.6
1104067,성동구,성수2가1동,60.8,66.5,53.4,57.7
1104068,성동구,성수2가3동,53.0,65.0,52.3,
1104069,성동구,송정동,33.2,44.5,41.3,42.7
1104070,성동구,용답동,44.4,60.4,51.4,49.0
1104071,성동구,왕십리도선동,50.6,58.7,56.4,54.7
1104072,성동구,금호2·3가동,29.7,45.6,40.9,41.5
1104073,성동구,옥수동,36.4,50.0,39.9,39.9
1105053,광진구,화양동,55.3,69.3,65.2,65.1
1105054,광진구,군자동,49.3,60.4,55.9,56.2
1105055,광진구,중곡1동,44.8,54.5,54.5,54.9
1105056,광진구,중곡2동,43.5,62.8,56.3,53.5
1105057,광진구,중곡3동,44.0,54.0,48.4,54.5
1105058,광진구,중곡4동,51.5,61.9,55.4,55.5
1105059,광진구,능동,,,,
1105060,광진구,구의1동,55.0,66.1,56.8,55.6
1105061,광진구,구의2동,44.8,55.1,46.2,48.0
1105062,광진구,구의3동,43.8,53.9,46.2,47.8
1105063,광진구,광장동,31.8,44.8,36.3,40.2
1105064,광진구,자양1동,55.5,60.7,56.3,57.1
1105065,광진구,자양2동,41.8,54.3,42.8,50.3
1105066,광진구,자양3동,44.5,55.8,45.2,46.6
1105067,광진구,자양4동,59.8,66.5,59.4,59.0
1106071,동대문구,회기동,,,,
1106072,동대문구,휘경1동,34.1,45.3,28.7,42.0
1106073,동대문구,휘경2동,36.5,46.2,40.0,42.0
1106080,동대문구,청량리동,51.3,54.8,52.5,51.8
1106081,동대문구,용신동,71.4,73.9,68.8,70.6
1106082,동대문구,제기동,76.1,83.5,77.7,74.3
1106083,동대문구,전농1동,56.3,65.7,64.3,63.9
1106084,동대문구,전농2동,34.0,39.9,31.9,38.5
1106086,동대문구,답십리2동,50.3,59.8,55.5,55.5
1106087,동대문구,장안1동,62.8,72.8,67.8,67.2
1106088,동대문구,장안2동,57.2,67.7,64.1,63.6
1106089,동대문구,이문1동,53.1,66.2,59.2,51.1
1106090,동대문구,이문2동,37.7,42.2,35.5,35.8
1106091,동대문구,답십리1동,42.7,51.0,43.6,46.2
1107052,중랑구,면목2동,59.2,65.5,60.9,60.8
1107054,중랑구,면목4동,37.6,46.1,43.5,41.5
1107055,중랑구,면목5동,,,34.8,38.4
1107057,중랑구,면목7동,46.4,54.7,48.5,49.1
1107059,중랑구,상봉1동,30.2,42.9,41.8,43.2
1107060,중랑구,상봉2동,54.2,67.4,61.1,59.9
1107061,중랑구,중화1동,36.1,48.3,42.8,47.6
1107062,중랑구,중화2동,63.3,72.9,69.1,67.9
1107064,중랑구,묵1동,39.9,50.8,44.2,50.2
1107065,중랑구,묵2동,43.2,54.7,46.1,51.3
1107068,중랑구,망우3동,44.1,55.9,50.7,50.4
1107069,중랑구,신내1동,43.7,57.0,49.1,47.6
1107070,중랑구,신내2동,35.5,53.4,40.8,44.0
1107071,중랑구,면목본동,69.1,81.4,68.5,69.6
1107072,중랑구,면목3·8동,54.5,62.8,51.8,53.9
1107073,중랑구,망우본동,59.2,76.9,71.6,65.3
1108058,성북구,돈암1동,24.5,34.6,21.5,29.5
1108059,성북구,돈암2동,28.9,42.5,33.5,36.6
1108060,성북구,안암동,,,,
1108061,성북구,보문동,,,38.2,49.2
1108062,성북구,정릉1동,34.3,40.8,32.0,37.9
1108063,성북구,정릉2동,39.4,50.1,38.4,41.6
1108064,성북구,정릉3동,18.4,41.2,39.3,32.9
1108065,성북구,정릉4동,40.7,54.6,50.1,46.3
1108066,성북구,길음1동,37.8,47.1,37.9,42.7
1108068,성북구,길음2동,36.7,46.8,38.2,41.0
1108071,성북구,월곡1동,43.9,54.7,49.7,47.9
1108072,성북구,월곡2동,46.9,58.4,46.2,43.6
1108076,성북구,장위1동,46.7,58.8,52.5,49.2
1108077,성북구,장위2동,40.1,48.3,45.6,45.5
1108078,성북구,장위3동,28.2,42.5,33.3,35.6
1108081,성북구,성북동,39.1,51.6,40.7,40.0
1108082,성북구,삼선동,48.7,66.3,55.5,54.3
1108083,성북구,동선동,,,51.6,48.9
1108084,성북구,종암동,52.6,68.0,57.7,57.7
1108085,성북구,석관동,57.9,65.7,57.9,59.7
1109060,강북구,번1동,56.7,64.5,56.0,59.6
1109061,강북구,번2동,29.4,43.6,43.9,40.6
1109062,강북구,번3동,33.6,43.4,40.3,42.0
1109063,강북구,수유1동,44.6,56.9,57.7,57.9
1109064,강북구,수유2동,46.9,53.7,41.6,47.6
1109065,강북구,수유3동,63.2,71.8,62.1,60.4
1109069,강북구,삼양동,41.4,54.2,46.7,47.4
1109070,강북구,미아동,46.2,63.1,57.3,58.3
1109071,강북구,송중동,53.0,64.7,60.3,58.4
1109072,강북구,송천동,56.1,68.5,63.3,60.4
1109073,강북구,삼각산동,34.1,44.4,39.7,43.0
1109074,강북구,우이동,46.1,50.5,39.6,48.3
1109075,강북구,인수동,50.8,62.8,59.3,55.5
1110051,도봉구,쌍문1동,35.3,44.7,42.5,41.1
1110052,도봉구,쌍문2동,48.1,55.4,49.8,50.1
1110053,도봉구,쌍문3동,34.3,40.1,41.5,40.8
1110054,도봉구,쌍문4동,24.3,37.3,28.7,28.9
1110055,도봉구,방학1동,54.1,67.9,62.6,60.7
1110056,도봉구,방학2동,47.8,55.1,50.0,52.4
1110057,도봉구,방학3동,35.6,42.0,35.4,36.8
1110059,도봉구,창1동,43.5,57.9,45.8,47.7
1110060,도봉구,창2동,49.3,54.3,53.3,53.6
1110061,도봉구,창3동,38.2,49.6,38.2,43.6
1110062,도봉구,창4동,39.6,49.7,38.5,40.4
1110063,도봉구,창5동,40.3,53.7,44.9,44.1
1110064,도봉구,도봉1동,46.6,58.9,59.0,55.9
1110065,도봉구,도봉2동,35.3,49.2,41.5,41.9
1111051,노원구,월계1동,42.5,53.3,45.3,46.2
1111052,노원구,월계2동,30.6,42.1,38.7,43.5
1111053,노원구,월계3동,38.4,50.9,41.7,42.4
1111056,노원구,공릉2동,45.0,58.2,51.6,50.3
1111058,노원구,하계1동,37.8,47.4,40.1,41.7
1111059,노원구,하계2동,21.4,36.0,26.2,28.4
1111060,노원구,중계본동,33.4,45.0,33.8,36.2
1111061,노원구,중계1동,24.5,43.7,33.3,35.9
1111064,노원구,중계4동,35.1,47.6,39.9,39.8
1111065,노원구,상계1동,48.6,61.3,54.1,53.7
1111066,노원구,상계2동,51.5,58.1,53.8,56.8
1111069,노원구,상계5동,45.5,59.3,49.5,49.7
1111072,노원구,상계8동,26.9,33.9,25.4,30.2
1111073,노원구,상계9동,27.6,41.6,27.4,29.3
1111074,노원구,상계10동,20.0,28.7,26.9,32.5
1111076,노원구,상계3·4동,49.6,61.5,48.3,49.6
1111077,노원구,상계6·7동,46.7,58.9,52.3,48.7
1111078,노원구,중계2·3동,40.6,55.5,42.9,47.1
1111079,노원구,공릉1동,54.0,67.4,60.5,61.3
1112051,은평구,녹번동,53.7,62.7,54.6,53.1
1112052,은평구,불광1동,44.5,61.6,60.6,55.8
1112055,은평구,갈현1동,50.5,58.2,56.0,47.3
1112056,은평구,갈현2동,45.8,53.9,49.7,51.7
1112057,은평구,구산동,47.4,59.5,46.6,50.8
1112058,은평구,대조동,60.2,65.4,61.1,58.3
1112059,은평구,응암1동,47.3,60.7,52.1,53.9
1112060,은평구,응암2동,34.4,50.0,43.5,41.8
1112065,은평구,신사1동,42.6,57.0,49.9,46.7
1112066,은평구,신사2동,32.4,44.3,35.4,37.9
1112067,은평구,증산동,38.8,46.6,31.7,37.3
1112068,은평구,수색동,25.1,34.9,31.3,36.2
1112071,은평구,진관동,42.1,56.0,48.3,50.7
1112072,은평구,불광2동,47.4,63.0,54.5,53.3
1112073,은평구,응암3동,59.5,65.0,58.3,60.1
1112074,은평구,역촌동,55.6,70.8,66.7,63.9
1113052,서대문구,천연동,38.2,50.0,41.4,42.4
1113062,서대문구,홍제1동,41.2,50.4,44.4,42.2
1113064,서대문구,홍제3동,42.4,59.9,45.1,45.2
1113065,서대문구,홍제2동,22.0,37.8,32.2,30.6
1113066,서대문구,홍은1동,40.2,51.7,43.2,45.9
1113068,서대문구,홍은2동,40.3,45.1,37.0,46.8
1113069,서대문구,남가좌1동,,,,34.8
1113070,서대문구,남가좌2동,44.7,58.0,53.2,47.1
1113071,서대문구,북가좌1동,26.0,36.0,27.1,33.8
1113072,서대문구,북가좌2동,53.3,65.4,57.5,53.3
1113073,서대문구,충현동,45.5,56.4,47.5,50.8
1113074,서대문구,북아현동,,,37.6,43.0
1113075,서대문구,신촌동,,,,60.0
1113076,서대문구,연희동,55.6,70.3,56.9,60.4
1114059,마포구,용강동,46.1,56.9,50.4,51.5
1114060,마포구,대흥동,,,54.5,54.0
1114061,마포구,염리동,34.3,42.3,39.5,39.2
1114063,마포구,신수동,36.9,50.4,44.2,45.9
1114066,마포구,서교동,74.5,83.6,78.1,74.7
1114068,마포구,합정동,45.1,54.5,46.5,47.9
1114069,마포구,망원1동,41.3,50.3,45.8,58.6
1114070,마포구,망원2동,36.7,38.3,37.6,43.1
1114071,마포구,연남동,45.4,50.2,45.7,49.0
1114072,마포구,성산1동,37.7,42.5,39.4,44.5
1114073,마포구,성산2동,45.8,61.0,52.3,49.7
1114074,마포구,상암동,43.6,53.8,45.8,51.0
1114075,마포구,도화동,36.9,47.1,45.8,49.3
1114076,마포구,서강동,42.8,54.8,47.8,47.6
1114077,마포구,공덕동,54.3,68.3,61.2,61.4
1114078,마포구,아현동,39.3,55.8,45.7,49.8
1115051,양천구,목1동,40.2,53.3,43.9,43.7
1115052,양천구,목2동,39.6,51.9,44.2,45.7
1115053,양천구,목3동,43.1,55.7,45.8,47.3
1115054,양천구,목4동,37.2,53.3,42.6,41.5
1115057,양천구,신월1동,51.4,59.1,55.5,55.4
1115058,양천구,신월2동,31.4,42.7,35.1,41.1
1115059,양천구,신월3동,47.6,55.8,49.7,49.4
1115060,양천구,신월4동,19.8,38.1,36.7,38.9
1115061,양천구,신월5동,36.1,49.8,35.1,31.9
1115062,양천구,신월6동,,34.0,27.9,32.5
1115063,양천구,신월7동,47.6,52.0,44.3,46.6
1115064,양천구,신정1동,28.2,37.5,38.3,39.6
1115065,양천구,신정2동,31.0,45.5,37.5,39.5
1115066,양천구,신정3동,42.8,57.8,49.6,50.9
1115069,양천구,신정6동,24.7,40.4,29.6,31.2
1115070,양천구,신정7동,36.8,48.1,41.8,43.5
1115071,양천구,목5동,35.0,47.5,36.0,39.8
1115072,양천구,신정4동,59.5,71.7,61.6,60.2
1116051,강서구,염창동,34.2,49.7,40.8,44.2
1116052,강서구,등촌1동,39.4,53.6,47.2,46.8
1116053,강서구,등촌2동,28.9,38.2,28.8,27.3
1116054,강서구,등촌3동,57.4,69.6,60.5,59.1
1116055,강서구,화곡본동,48.4,60.9,57.4,56.3
1116057,강서구,화곡2동,38.1,44.2,37.5,39.3
1116058,강서구,화곡3동,45.0,55.5,45.7,44.4
1116059,강서구,화곡4동,48.4,61.4,49.5,51.8
1116061,강서구,화곡6동,44.3,60.7,55.2,50.6
1116063,강서구,화곡8동,41.8,56.8,48.7,51.4
1116064,강서구,가양1동,51.4,66.9,54.7,58.6
1116065,강서구,가양2동,42.0,53.0,43.6,44.3
1116066,강서구,가양3동,25.6,41.2,33.1,43.2
1116067,강서구,발산1동,52.0,63.6,56.2,56.6
1116069,강서구,공항동,46.3,58.3,50.4,50.0
1116070,강서구,방화1동,51.9,63.3,52.4,53.0
1116071,강서구,방화2동,48.2,57.7,52.0,50.0
1116072,강서구,방화3동,39.2,54.3,43.1,45.2
1116073,강서구,화곡1동,68.3,76.9,67.7,72.0
1116074,강서구,우장산동,39.5,55.7,49.0,48.3
1117051,구로구,신도림동,43.9,53.9,48.8,47.9
1117052,구로구,구로1동,27.5,40.7,29.8,32.7
1117054,구로구,구로3동,56.5,70.7,59.1,62.9
1117055,구로구,구로4동,64.6,74.2,67.5,74.2
1117056,구로구,구로5동,57.9,70.9,65.5,65.1
1117061,구로구,고척1동,40.2,54.3,49.2,50.0
1117062,구로구,고척2동,45.7,56.0,48.6,51.6
1117064,구로구,개봉2동,33.6,51.4,39.0,44.3
1117065,구로구,개봉3동,38.6,47.3,39.6,41.5
1117067,구로구,오류1동,39.4,52.0,45.7,45.4
1117068,구로구,오류2동,41.1,56.4,49.0,49.1
1117069,구로구,수궁동,33.9,46.6,40.4,37.9
1117070,구로구,가리봉동,60.8,78.7,65.8,63.2
1117071,구로구,구로2동,83.4,92.5,90.3,86.4
1117072,구로구,개봉1동,52.5,59.5,49.4,54.5
1118051,금천구,가산동,75.4,86.8,84.1,75.7
1118052,금천구,독산1동,54.4,66.4,63.2,64.3
1118053,금천구,독산2동,49.4,65.3,57.8,57.3
1118054,금천구,독산3동,64.3,73.1,71.4,68.3
1118055,금천구,독산4동,48.9,62.6,57.5,54.7
1118057,금천구,시흥1동,60.2,74.0,70.0,64.9
1118058,금천구,시흥2동,28.1,42.8,34.5,33.3
1118059,금천구,시흥3동,,44.8,40.7,38.3
1118060,금천구,시흥4동,41.6,52.3,55.2,50.3
1118061,금천구,시흥5동,51.9,64.4,59.3,51.3
1119054,영등포구,여의동,62.6,74.1,75.5,83.5
1119055,영등포구,당산1동,58.8,71.5,65.3,64.3
1119056,영등포구,당산2동,46.4,58.5,51.1,52.4
1119061,영등포구,양평1동,,,46.8,46.7
1119062,영등포구,양평2동,39.4,52.0,41.8,46.1
1119063,영등포구,신길1동,46.0,55.2,50.9,51.9
1119065,영등포구,신길3동,48.0,53.0,48.2,46.2
1119066,영등포구,신길4동,22.4,32.0,26.9,29.7
1119067,영등포구,신길5동,39.1,41.5,37.1,36.1
1119068,영등포구,신길6동,40.3,47.8,42.7,43.4
1119069,영등포구,신길7동,24.8,42.6,30.0,30.2
1119070,영등포구,대림1동,41.9,55.5,47.1,50.7
1119071,영등포구,대림2동,53.2,65.6,59.6,60.6
1119072,영등포구,대림3동,48.5,62.7,55.8,57.5
1119073,영등포구,영등포본동,48.9,61.2,53.2,52.1
1119074,영등포구,영등포동,68.9,81.0,72.6,73.2
1119075,영등포구,도림동,44.4,56.9,49.5,48.0
1119076,영등포구,문래동,51.3,60.9,59.4,61.0
1120052,동작구,노량진2동,44.3,58.8,55.3,47.8
1120053,동작구,상도1동,45.0,59.9,53.3,54.4
1120054,동작구,상도2동,39.2,52.0,42.1,45.1
1120055,동작구,상도3동,38.3,52.7,47.0,46.1
1120056,동작구,상도4동,43.3,56.2,48.6,49.5
1120063,동작구,사당1동,47.8,55.5,52.9,54.8
1120065,동작구,사당3동,33.1,49.6,38.1,36.9
1120066,동작구,사당4동,,,26.5,37.6
1120067,동작구,사당5동,,,,
1120068,동작구,대방동,39.8,51.4,49.3,49.4
1120069,동작구,신대방1동,42.2,50.0,36.8,44.5
1120070,동작구,신대방2동,34.8,47.2,39.8,43.1
1120071,동작구,흑석동,52.2,58.4,54.9,52.1
1120072,동작구,노량진1동,43.2,59.9,56.9,54.8
1120073,동작구,사당2동,49.6,61.1,54.3,45.6
1121052,관악구,보라매동,45.1,57.6,52.8,54.3
1121054,관악구,청림동,23.4,32.6,28.3,28.9
1121057,관악구,행운동,48.1,63.4,55.0,51.7
1121058,관악구,낙성대동,,,,
1121061,관악구,중앙동,,,,
1121062,관악구,인헌동,47.3,57.8,49.9,45.9
1121063,관악구,남현동,36.7,41.7,33.6,33.4
1121064,관악구,서원동,51.1,63.5,54.8,53.4
1121065,관악구,신원동,49.6,53.9,56.3,57.9
1121066,관악구,서림동,49.5,59.0,52.7,54.8
1121068,관악구,신사동,55.3,59.7,54.4,54.4
1121069,관악구,신림동,,,,
1121071,관악구,난향동,23.3,28.7,23.4,31.7
1121072,관악구,조원동,52.5,63.3,54.7,53.4
1121073,관악구,대학동,66.5,76.8,74.4,70.5
1121078,관악구,은천동,49.6,59.2,54.4,56.3
1121079,관악구,성현동,39.2,52.6,44.5,44.4
1121080,관악구,청룡동,51.9,61.8,54.4,58.2
1121081,관악구,난곡동,46.4,59.2,54.7,53.9
1121082,관악구,삼성동,37.8,55.8,50.0,43.9
1121083,관악구,미성동,47.5,59.5,51.5,53.4
1122051,서초구,서초1동,43.0,55.3,46.5,52.1
1122052,서초구,서초2동,47.5,57.9,51.6,56.0
1122053,서초구,서초3동,58.5,67.6,61.5,64.1
1122054,서초구,서초4동,40.5,50.4,45.7,46.3
1122055,서초구,잠원동,43.5,54.6,44.1,50.8
1122056,서초구,반포본동,,,,
1122057,서초구,반포1동,46.3,53.9,45.0,49.8
1122058,서초구,반포2동,13.1,28.3,19.3,28.8
1122059,서초구,반포3동,27.5,42.7,31.4,36.9
1122060,서초구,반포4동,43.5,50.4,44.7,46.6
1122061,서초구,방배본동,32.5,46.6,39.4,42.4
1122062,서초구,방배1동,33.6,45.0,36.3,35.2
1122063,서초구,방배2동,35.3,38.9,38.7,45.4
1122064,서초구,방배3동,31.0,40.6,27.5,30.9
1122065,서초구,방배4동,34.2,47.4,42.6,44.2
1122066,서초구,양재1동,48.2,60.4,52.9,58.2
1122067,서초구,양재2동,54.3,65.4,62.8,58.4
1122068,서초구,내곡동,28.4,44.5,35.7,36.0
1123051,강남구,신사동,49.5,61.2,52.2,50.5
1123052,강남구,논현1동,64.1,72.9,65.9,70.2
1123053,강남구,논현2동,60.6,69.3,69.0,68.1
1123058,강남구,삼성1동,42.0,55.4,52.7,54.3
1123059,강남구,삼성2동,49.6,61.5,53.9,58.4
1123060,강남구,대치1동,22.4,33.8,27.1,28.1
1123063,강남구,대치4동,53.4,53.9,53.5,60.0
1123064,강남구,역삼1동,78.7,92.3,90.9,93.0
1123065,강남구,역삼2동,51.1,63.8,60.6,60.5
1123066,강남구,도곡1동,35.4,46.3,39.7,38.3
1123067,강남구,도곡2동,34.8,48.8,42.9,44.9
1123068,강남구,개포1동,11.9,22.8,16.0,22.3
1123071,강남구,개포4동,32.7,46.2,31.2,42.0
1123072,강남구,일원본동,26.5,39.6,25.2,26.4
1123073,강남구,일원1동,36.2,46.6,41.1,39.7
1123074,강남구,일원2동,26.9,,22.4,25.5
1123075,강남구,수서동,40.3,48.6,32.2,42.2
1123076,강남구,세곡동,33.6,50.8,45.9,47.7
1123077,강남구,압구정동,48.4,60.9,55.3,55.1
1123078,강남구,청담동,48.5,57.7,54.3,56.3
1123079,강남구,대치2동,43.2,56.7,47.9,51.5
1123080,강남구,개포2동,33.0,44.6,35.1,41.6
1124051,송파구,풍납1동,26.8,41.3,30.1,31.1
1124052,송파구,풍납2동,38.9,49.0,39.2,40.0
1124053,송파구,거여1동,30.8,43.9,35.7,40.5
1124054,송파구,거여2동,33.6,49.2,32.9,40.2
1124055,송파구,마천1동,41.1,49.8,45.9,43.8
1124056,송파구,마천2동,39.7,51.7,40.4,51.4
1124057,송파구,방이1동,32.9,46.4,35.8,42.2
1124058,송파구,방이2동,56.1,72.5,66.9,60.4
1124059,송파구,오륜동,18.7,26.8,18.0,23.2
1124060,송파구,오금동,46.4,59.6,50.5,52.1
1124061,송파구,송파1동,48.7,59.2,54.7,53.7
1124062,송파구,송파2동,24.3,38.4,30.9,33.0
1124063,송파구,석촌동,61.3,72.7,64.2,60.3
1124064,송파구,삼전동,47.9,57.5,53.3,50.5
1124065,송파구,가락본동,58.2,68.9,58.3,59.4
1124066,송파구,가락1동,46.9,56.9,47.9,54.0
1124067,송파구,가락2동,42.6,54.2,44.4,46.0
1124068,송파구,문정1동,40.3,48.7,43.9,45.0
1124069,송파구,문정2동,44.4,60.5,53.9,59.2
1124071,송파구,잠실본동,58.8,69.4,60.2,64.0
1124075,송파구,잠실4동,23.2,34.9,25.3,26.6
1124077,송파구,잠실6동,39.1,38.1,36.8,39.1
1124078,송파구,잠실7동,,,,
1124079,송파구,잠실2동,22.1,38.2,32.0,33.0
1124080,송파구,잠실3동,33.5,49.4,38.1,42.1
1124081,송파구,장지동,36.0,46.2,43.5,43.4
1124082,송파구,위례동,26.4,39.2,31.8,39.9
1125051,강동구,강일동,32.1,44.0,35.6,42.1
1125052,강동구,상일동,33.9,40.9,32.5,37.6
1125053,강동구,명일1동,39.2,51.7,42.3,46.0
1125054,강동구,명일2동,25.4,35.6,23.2,33.6
1125055,강동구,고덕1동,28.8,40.8,28.1,33.2
1125056,강동구,고덕2동,,,37.4,42.8
1125058,강동구,암사2동,,,33.0,38.0
1125059,강동구,암사3동,18.9,34.5,24.6,28.8
1125061,강동구,천호1동,46.3,61.5,56.1,51.9
1125063,강동구,천호3동,52.1,57.9,56.5,58.9
1125065,강동구,성내1동,41.9,50.6,41.8,39.6
1125066,강동구,성내2동,56.5,65.2,61.0,58.8
1125067,강동구,성내3동,53.0,62.9,48.6,51.7
1125070,강동구,둔촌1동,0.0,11.1,,36.8
1125071,강동구,둔촌2동,38.0,56.5,44.0,47.0
1125072,강동구,암사1동,48.5,66.5,56.5,59.3
1125073,강동구,천호2동,65.2,73.0,68.9,66.6
1125074,강동구,길동,63.4,76.3,69.8,70.6
