자치구,행정동,행정동코드,Dependency
종로구,종로1·2·3·4가동,11110615,100.0
강남구,역삼1동,11680640,89.8
구로구,구로2동,11530530,88.4
금천구,가산동,11545510,81.1
마포구,서교동,11440660,78.2
동대문구,제기동,11230545,77.7
영등포구,여의동,11560540,74.0
영등포구,영등포동,11560535,74.0
중랑구,면목본동,11260565,71.9
관악구,대학동,11620735,71.5
동대문구,용신동,11230536,71.3
강서구,화곡1동,11500540,71.2
구로구,구로4동,11530550,69.6
강동구,길동,11740685,69.5
금천구,독산3동,11545630,68.8
강남구,논현1동,11680521,68.1
강동구,천호2동,11740610,68.1
동대문구,장안1동,11230650,67.8
중랑구,망우본동,11260655,67.7
중랑구,중화2동,11260610,67.3
금천구,시흥1동,11545670,67.0
강남구,논현2동,11680531,66.4
구로구,가리봉동,11530595,65.3
중구,명동,11140550,65.2
영등포구,당산1동,11560550,64.8
구로구,구로5동,11530560,64.6
중구,광희동,11140590,64.5
은평구,역촌동,11380625,63.8
송파구,석촌동,11710600,63.6
송파구,방이2동,11710562,63.3
강북구,수유3동,11305635,63.2
광진구,화양동,11215710,63.0
동대문구,장안2동,11230660,62.8
양천구,신정4동,11470650,62.7
서초구,서초3동,11650530,62.3
송파구,잠실본동,11710650,62.2
동대문구,전농1동,11230560,61.9
금천구,독산1동,11545610,61.7
구로구,구로3동,11530540,61.6
강북구,송천동,11305555,61.3
중구,신당동,11140615,61.1
마포구,공덕동,11440565,61.1
강서구,등촌3동,11500535,60.8
송파구,가락본동,11710620,60.6
도봉구,방학1동,11320690,60.6
중랑구,면목2동,11260520,60.5
노원구,공릉1동,11350595,60.2
관악구,신림동,11620695,60.2
은평구,대조동,11380570,60.2
서대문구,연희동,11410615,59.7
광진구,자양4동,11215847,59.6
은평구,응암3동,11380600,59.6
성동구,마장동,11200540,59.5
성북구,석관동,11290810,59.5
중랑구,상봉2동,11260590,59.4
서대문구,신촌동,11410585,59.4
강동구,성내2동,11740650,59.1
서초구,양재2동,11650652,59.0
용산구,한강로동,11170625,58.9
성동구,성수2가1동,11200670,58.6
강북구,송중동,11305545,58.3
강남구,역삼2동,11680650,58.3
성북구,종암동,11290705,58.2
강북구,번1동,11305595,58.2
영등포구,대림2동,11560710,58.2
영등포구,문래동,11560605,57.6
광진구,구의1동,11215850,57.2
강서구,가양1동,11500603,56.8
동대문구,이문1동,11230740,56.8
서대문구,북가좌2동,11410720,56.5
강동구,암사1동,11740570,56.5
종로구,종로5·6가동,11110630,56.4
광진구,자양1동,11215820,56.3
금천구,독산2동,11545620,56.1
용산구,남영동,11170530,56.1
강북구,인수동,11305660,56.1
강서구,발산1동,11500611,55.8
금천구,시흥5동,11545710,55.6
광진구,중곡4동,11215770,55.2
성동구,성수2가3동,11200690,55.2
은평구,녹번동,11380510,55.1
성북구,삼선동,11290555,55.0
관악구,청룡동,11620595,55.0
강북구,미아동,11305535,54.9
강동구,천호3동,11740620,54.9
영등포구,대림3동,11560720,54.9
관악구,서원동,11620645,54.8
강남구,삼성2동,11680590,54.6
관악구,조원동,11620725,54.5
금천구,독산4동,11545640,54.4
동대문구,답십리2동,11230610,54.4
은평구,불광1동,11380520,54.3
성동구,왕십리도선동,11200535,54.3
강서구,화곡본동,11500590,54.3
관악구,신사동,11620685,54.3
강서구,방화1동,11500630,54.2
양천구,신월1동,11470560,54.2
관악구,은천동,11620605,54.1
노원구,상계2동,11350640,53.9
성동구,성수1가2동,11200660,53.9
중랑구,면목3·8동,11260575,53.9
광진구,군자동,11215730,53.8
강남구,대치4동,11680630,53.6
강남구,압구정동,11680545,53.5
서초구,양재1동,11650651,53.4
노원구,상계1동,11350630,53.3
관악구,행운동,11620575,53.3
도봉구,도봉1동,11320521,53.2
송파구,문정2동,11710642,53.0
동작구,흑석동,11590605,53.0
은평구,불광2동,11380530,52.9
광진구,중곡2동,11215750,52.8
관악구,서림동,11620665,52.8
관악구,신원동,11620655,52.7
강동구,성내3동,11740660,52.7
강동구,천호1동,11740600,52.6
강남구,청담동,11680565,52.6
송파구,송파1동,11710580,52.6
영등포구,영등포본동,11560515,52.4
중구,회현동,11140540,52.3
구로구,개봉1동,11530740,52.3
강북구,수유1동,11305615,52.3
동작구,노량진1동,11590510,52.2
은평구,응암1동,11380580,52.2
관악구,난곡동,11620775,51.9
동작구,상도1동,11590530,51.8
용산구,청파동,11170555,51.8
서초구,서초2동,11650520,51.8
관악구,미성동,11620765,51.7
강남구,신사동,11680510,51.7
마포구,대흥동,11440600,51.7
종로구,사직동,11110530,51.5
도봉구,창2동,11320512,51.5
용산구,한남동,11170685,51.4
관악구,보라매동,11620525,51.3
강서구,화곡6동,11500591,51.3
강서구,화곡4동,11500570,51.3
종로구,숭인2동,11110710,51.3
동작구,사당2동,11590630,51.2
동작구,사당1동,11590620,51.2
종로구,창신2동,11110680,51.2
영등포구,당산2동,11560560,51.1
관악구,낙성대동,11620585,51.1
은평구,갈현1동,11380551,51.0
마포구,성산2동,11440730,50.8
중구,황학동,11140670,50.8
성북구,장위1동,11290760,50.7
송파구,오금동,11710570,50.6
노원구,상계3·4동,11350665,50.5
송파구,삼전동,11710610,50.4
성북구,동선동,11290575,50.3
동대문구,청량리동,11230705,50.3
노원구,상계6·7동,11350695,50.2
강서구,방화2동,11500640,50.2
종로구,혜화동,11110650,50.1
송파구,가락1동,11710631,50.1
광진구,중곡1동,11215740,50.1
마포구,용강동,11440590,50.0
노원구,공릉2동,11350600,49.9
도봉구,쌍문2동,11320670,49.6
은평구,구산동,11380560,49.6
노원구,상계5동,11350670,49.5
강서구,공항동,11500620,49.5
성동구,용답동,11200790,49.5
도봉구,방학2동,11320700,49.3
강남구,삼성1동,11680580,49.3
서대문구,남가좌2동,11410700,49.2
동작구,노량진2동,11590520,49.1
영등포구,신길1동,11560630,49.0
서대문구,충현동,11410565,48.9
양천구,신월3동,11470580,48.7
구로구,고척2동,11530730,48.5
양천구,신정3동,11470640,48.5
중랑구,망우3동,11260660,48.4
관악구,인헌동,11620625,48.4
은평구,갈현2동,11380552,48.3
강남구,대치2동,11680610,48.2
동작구,상도4동,11590560,48.1
금천구,시흥4동,11545700,47.9
광진구,중곡3동,11215760,47.9
중랑구,신내1동,11260680,47.8
성북구,월곡1동,11290715,47.8
동대문구,회기동,11230710,47.7
강서구,화곡8동,11500593,47.7
은평구,신사1동,11380631,47.6
서초구,서초1동,11650510,47.5
영등포구,도림동,11560585,47.4
은평구,진관동,11380690,47.4
중랑구,묵2동,11260630,47.4
구로구,신도림동,11530510,47.3
중랑구,면목7동,11260570,47.3
구로구,오류2동,11530780,47.2
성북구,월곡2동,11290725,47.1
도봉구,창1동,11320511,47.1
영등포구,신길3동,11560650,47.0
광진구,구의2동,11215860,47.0
구로구,고척1동,11530720,47.0
마포구,상암동,11440740,46.8
영등포구,대림1동,11560700,46.8
서초구,반포1동,11650560,46.7
마포구,서강동,11440655,46.7
용산구,원효로1동,11170560,46.7
서초구,잠원동,11650540,46.5
마포구,망원1동,11440690,46.5
강서구,우장산동,11500615,46.5
마포구,합정동,11440680,46.4
양천구,목3동,11470530,46.4
성북구,정릉4동,11290650,46.4
광진구,자양3동,11215840,46.3
광진구,구의3동,11215870,46.1
서대문구,홍제3동,11410640,46.1
마포구,아현동,11440555,46.0
양천구,신월7동,11470611,45.8
강북구,삼양동,11305534,45.8
강서구,화곡3동,11500560,45.8
광진구,자양2동,11215830,45.7
동작구,대방동,11590660,45.7
영등포구,양평1동,11560610,45.5
강북구,수유2동,11305625,45.5
용산구,이태원1동,11170650,45.4
노원구,월계1동,11350560,45.3
송파구,가락2동,11710632,45.0
강서구,등촌1동,11500520,45.0
마포구,연남동,11440710,45.0
중구,필동,11140570,44.8
관악구,삼성동,11620745,44.7
노원구,중계2·3동,11350625,44.6
성동구,성수1가1동,11200650,44.5
강동구,둔촌2동,11740700,44.2
동작구,상도3동,11590550,44.1
서초구,반포4동,11650581,44.1
중랑구,묵1동,11260620,44.1
도봉구,창5동,11320515,44.0
서초구,서초4동,11650531,43.9
동대문구,답십리1동,11230600,43.9
강북구,우이동,11305645,43.7
종로구,이화동,11110640,43.6
강서구,가양2동,11500604,43.5
구로구,오류1동,11530770,43.5
양천구,목2동,11470520,43.4
양천구,목1동,11470510,43.4
강서구,방화3동,11500641,43.4
관악구,성현동,11620565,43.4
서대문구,홍은1동,11410660,43.3
송파구,마천2동,11710550,43.1
동작구,상도2동,11590540,42.9
송파구,마천1동,11710540,42.9
영등포구,양평2동,11560620,42.8
강동구,명일1동,11740530,42.8
마포구,신수동,11440630,42.7
서대문구,홍제1동,11410620,42.7
마포구,도화동,11440585,42.6
송파구,문정1동,11710641,42.4
강남구,세곡동,11680700,42.0
성북구,장위2동,11290770,42.0
중랑구,중화1동,11260600,41.9
중구,다산동,11140625,41.8
강동구,성내1동,11740640,41.6
영등포구,신길6동,11560680,41.6
동작구,신대방1동,11590670,41.5
용산구,후암동,11170510,41.5
중랑구,신내2동,11260690,41.4
양천구,목4동,11470540,41.2
성북구,안암동,11290600,41.0
노원구,월계3동,11350580,41.0
서대문구,천연동,11410520,40.9
관악구,중앙동,11620615,40.8
성북구,정릉2동,11290630,40.6
강남구,도곡2동,11680656,40.6
성북구,성북동,11290525,40.5
은평구,응암2동,11380590,40.5
양천구,신정7동,11470680,40.4
서대문구,북아현동,11410555,40.3
성북구,보문동,11290610,40.3
강서구,염창동,11500510,40.1
도봉구,창4동,11320514,40.0
구로구,개봉2동,11530750,39.9
중랑구,면목4동,11260540,39.8
송파구,풍납2동,11710520,39.7
서대문구,홍은2동,11410685,39.7
송파구,장지동,11710646,39.7
도봉구,도봉2동,11320522,39.6
도봉구,창3동,11320513,39.6
성동구,옥수동,11200645,39.5
구로구,개봉3동,11530760,39.4
서초구,방배4동,11650621,39.3
노원구,하계1동,11350611,39.3
성북구,길음1동,11290660,39.3
성북구,길음2동,11290685,38.9
동작구,신대방2동,11590680,38.7
중구,약수동,11140635,38.7
동대문구,휘경2동,11230730,38.7
중구,청구동,11140645,38.6
송파구,잠실3동,11710680,38.5
도봉구,쌍문1동,11320660,38.5
마포구,성산1동,11440720,38.2
강남구,일원1동,11680730,38.2
강동구,고덕2동,11740560,38.1
강북구,삼각산동,11305575,38.0
종로구,창신1동,11110670,37.9
노원구,중계4동,11350624,37.8
서초구,방배본동,11650590,37.8
강남구,도곡1동,11680655,37.7
강북구,번3동,11305608,37.6
용산구,용문동,11170590,37.4
강남구,수서동,11680750,37.4
양천구,목5동,11470550,37.2
성동구,행당2동,11200570,37.2
중랑구,상봉1동,11260580,37.1
구로구,수궁동,11530790,37.1
중구,신당5동,11140650,37.1
성동구,송정동,11200720,37.1
금천구,시흥3동,11545690,36.9
강북구,번2동,11305603,36.9
강서구,화곡2동,11500550,36.9
동작구,사당3동,11590640,36.8
용산구,이태원2동,11170660,36.8
송파구,방이1동,11710561,36.7
용산구,보광동,11170700,36.5
성동구,금호2·3가동,11200615,36.5
서초구,방배2동,11650610,36.4
성동구,사근동,11200550,36.3
은평구,증산동,11380640,36.1
강남구,개포2동,11680670,36.0
송파구,거여2동,11710532,35.9
양천구,신정2동,11470630,35.9
강동구,강일동,11740515,35.9
도봉구,쌍문3동,11320680,35.8
마포구,염리동,11440610,35.8
마포구,망원2동,11440700,35.8
노원구,월계2동,11350570,35.8
광진구,광장동,11215810,35.8
양천구,신월5동,11470600,35.6
영등포구,신길5동,11560670,35.5
중구,중림동,11140680,35.5
송파구,잠실6동,11710710,35.4
성동구,왕십리2동,11200520,35.2
송파구,거여1동,11710531,35.0
동대문구,이문2동,11230750,35.0
중랑구,면목5동,11260550,35.0
도봉구,방학3동,11320710,35.0
용산구,용산2가동,11170520,35.0
양천구,신월2동,11470570,34.8
강남구,개포4동,11680690,34.8
은평구,신사2동,11380632,34.7
노원구,중계본동,11350619,34.4
동대문구,휘경1동,11230720,34.2
중구,동화동,11140665,34.2
서초구,방배1동,11650600,34.1
성동구,행당1동,11200560,33.7
성북구,정릉1동,11290620,33.6
관악구,남현동,11620630,33.5
강동구,상일동,11740520,33.3
용산구,원효로2동,11170570,33.2
강동구,암사2동,11740580,33.2
성북구,돈암2동,11290590,33.2
성동구,금호4가동,11200620,33.1
동대문구,전농2동,11230570,33.0
서초구,내곡동,11650660,32.9
양천구,신정1동,11470620,32.8
강서구,가양3동,11500605,32.3
성북구,장위3동,11290780,32.0
금천구,시흥2동,11545680,31.9
노원구,중계1동,11350621,31.7
서초구,반포3동,11650580,31.6
광진구,능동,11215780,31.5
용산구,이촌1동,11170630,31.2
성동구,금호1가동,11200590,30.9
송파구,위례동,11710647,30.7
종로구,청운효자동,11110515,30.2
구로구,구로1동,11530520,30.0
양천구,신월4동,11470590,29.9
강동구,고덕1동,11740550,29.7
성북구,정릉3동,11290640,29.1
영등포구,신길7동,11560690,28.9
서초구,방배3동,11650620,28.8
양천구,신정6동,11470670,28.7
노원구,상계9동,11350710,28.4
송파구,풍납1동,11710510,28.1
송파구,송파2동,11710590,28.0
은평구,수색동,11380650,28.0
송파구,잠실2동,11710670,27.7
서대문구,북가좌1동,11410710,27.7
동작구,사당4동,11590650,27.4
강서구,등촌2동,11500530,27.2
서대문구,홍제2동,11410655,27.0
종로구,숭인1동,11110700,26.7
서대문구,남가좌1동,11410690,26.7
도봉구,쌍문4동,11320681,26.5
양천구,신월6동,11470610,26.5
동작구,사당5동,11590651,26.4
노원구,상계8동,11350700,26.0
강동구,명일2동,11740540,25.9
강남구,일원본동,11680720,25.9
노원구,하계2동,11350612,24.6
관악구,청림동,11620545,24.5
강남구,대치1동,11680600,24.2
송파구,잠실4동,11710690,24.0
성북구,돈암1동,11290580,23.6
성동구,응봉동,11200580,23.5
노원구,상계10동,11350720,23.4
강남구,일원2동,11680740,23.4
영등포구,신길4동,11560660,23.0
강동구,암사3동,11740590,22.7
관악구,난향동,11620715,22.2
종로구,교남동,11110580,22.2
종로구,부암동,11110550,21.9
종로구,평창동,11110560,21.9
용산구,효창동,11170580,21.7
종로구,창신3동,11110690,20.5
서초구,반포2동,11650570,18.0
송파구,오륜동,11710566,17.2
용산구,서빙고동,11170690,16.2
강남구,개포1동,11680660,13.1
용산구,이촌2동,11170640,10.5
종로구,무악동,11110570,9.1
송파구,잠실7동,11710720,8.7
강동구,둔촌1동,11740690,6.4
서초구,반포본동,11650550,0.0
